,lenght,type_of_gene
ENSG00000226709,,unknown
ENSG00000215367,,pseudo
ENSG00000123136,10564.0,protein-coding
ENSG00000152061,835898.0,protein-coding
ENSG00000197006,60255.0,protein-coding
ENSG00000033178,88527.0,protein-coding
ENSG00000234720,,unknown
ENSG00000249592,,ncRNA
ENSG00000263511,,microRNA
ENSG00000278654,,unknown
ENSG00000281653,,unknown
ENSG00000010361,10507.0,protein-coding
ENSG00000242766,,unknown
ENSG00000231867,,unknown
ENSG00000275295,,unknown
ENSG00000270864,,unknown
ENSG00000211918,,unknown
ENSG00000274374,,unknown
ENSG00000257105,,unknown
ENSG00000258594,,unknown
ENSG00000147145,9385.0,protein-coding
ENSG00000213760,3965.0,protein-coding
ENSG00000188070,8883.0,protein-coding
ENSG00000177311,125579.0,protein-coding
ENSG00000163806,68094.0,protein-coding
ENSG00000101665,32199.0,protein-coding
ENSG00000126368,7938.0,protein-coding
ENSG00000280915,,unknown
ENSG00000228340,,ncRNA
ENSG00000264138,,unknown
ENSG00000249396,,intergenic
ENSG00000199949,,unknown
ENSG00000202337,,snRNA
ENSG00000248400,,unknown
ENSG00000275312,,unknown
ENSG00000276031,,unknown
ENSG00000275799,,unknown
ENSG00000212747,2025.0,protein-coding
ENSG00000279534,,unknown
ENSG00000165156,27090.0,protein-coding
ENSG00000274711,,unknown
ENSG00000257286,,unknown
ENSG00000183729,2686.0,protein-coding
ENSG00000280685,,unknown
ENSG00000141519,63981.0,protein-coding
ENSG00000276380,1184.0,protein-coding
ENSG00000167755,11042.0,protein-coding
ENSG00000235492,,intergenic
ENSG00000198812,2598.0,protein-coding
ENSG00000213063,,unknown
ENSG00000196372,27728.0,protein-coding
ENSG00000254738,,unknown
ENSG00000231196,,unknown
ENSG00000171522,14237.0,protein-coding
ENSG00000181016,10209.0,protein-coding
ENSG00000223214,,unknown
ENSG00000182481,11323.0,protein-coding
ENSG00000243352,,unknown
ENSG00000081019,50644.0,protein-coding
ENSG00000239593,,unknown
ENSG00000166181,32566.0,protein-coding
ENSG00000275959,,unknown
ENSG00000262539,,unknown
ENSG00000201610,,unknown
ENSG00000264388,,unknown
ENSG00000267012,,unknown
ENSG00000212345,,unknown
ENSG00000258048,,unknown
ENSG00000157119,7025.0,protein-coding
ENSG00000227203,,unknown
ENSG00000224832,,intergenic
ENSG00000277244,,unknown
ENSG00000048392,34616.0,protein-coding
ENSG00000267732,,unknown
ENSG00000274799,,unknown
ENSG00000223402,,unknown
ENSG00000198589,751196.0,protein-coding
ENSG00000170540,10011.0,protein-coding
ENSG00000102189,158694.0,protein-coding
ENSG00000170846,,unknown
ENSG00000225997,,unknown
ENSG00000251825,,unknown
ENSG00000149256,788117.0,protein-coding
ENSG00000272595,,unknown
ENSG00000263890,,microRNA
ENSG00000272004,,unknown
ENSG00000256249,,unknown
ENSG00000230166,,unknown
ENSG00000265766,,unknown
ENSG00000232229,,intergenic
ENSG00000221113,,unknown
ENSG00000226721,,unknown
ENSG00000113721,42035.0,protein-coding
ENSG00000251999,,unknown
ENSG00000213157,,unknown
ENSG00000237039,,unknown
ENSG00000226048,,unknown
ENSG00000184730,4321.0,protein-coding
ENSG00000262990,,unknown
ENSG00000279076,,unknown
ENSG00000258851,,unknown
ENSG00000255308,,unknown
ENSG00000261270,,unknown
ENSG00000109111,40593.0,protein-coding
ENSG00000200033,,unknown
ENSG00000278979,,unknown
ENSG00000237025,,unknown
ENSG00000108669,108249.0,protein-coding
ENSG00000207369,,unknown
ENSG00000180068,,unknown
ENSG00000166848,114086.0,protein-coding
ENSG00000255196,,unknown
ENSG00000171649,15321.0,protein-coding
ENSG00000229311,,unknown
ENSG00000229386,,unknown
ENSG00000199874,,unknown
ENSG00000255741,,unknown
ENSG00000234502,,unknown
ENSG00000232081,,unknown
ENSG00000240694,9406.0,protein-coding
ENSG00000248428,,unknown
ENSG00000147274,32760.0,protein-coding
ENSG00000276019,,unknown
ENSG00000275530,,unknown
ENSG00000189129,13677.0,protein-coding
ENSG00000255157,,unknown
ENSG00000014641,18588.0,protein-coding
ENSG00000246228,,ncRNA
ENSG00000280607,,unknown
ENSG00000012048,125950.0,protein-coding
ENSG00000102554,22566.0,protein-coding
ENSG00000229272,,unknown
ENSG00000237484,,intergenic
ENSG00000233238,,pseudo
ENSG00000141985,40177.0,protein-coding
ENSG00000076662,6047.0,protein-coding
ENSG00000260621,,unknown
ENSG00000256056,,unknown
ENSG00000256276,,unknown
ENSG00000235574,,unknown
ENSG00000131652,3728.0,protein-coding
ENSG00000232706,,unknown
ENSG00000270321,,unknown
ENSG00000173218,56271.0,protein-coding
ENSG00000240758,,unknown
ENSG00000274787,,unknown
ENSG00000248720,,unknown
ENSG00000142676,5093.0,protein-coding
ENSG00000280110,,unknown
ENSG00000266149,,ncRNA
ENSG00000204566,,unknown
ENSG00000230257,15419.0,protein-coding
ENSG00000250788,,unknown
ENSG00000275012,,unknown
ENSG00000270951,,unknown
ENSG00000119979,33898.0,protein-coding
ENSG00000232086,,unknown
ENSG00000266181,,unknown
ENSG00000260635,,unknown
ENSG00000256085,,unknown
ENSG00000184374,111130.0,protein-coding
ENSG00000221547,,unknown
ENSG00000211813,,unknown
ENSG00000201487,,snoRNA
ENSG00000095752,6074.0,protein-coding
ENSG00000273391,,unknown
ENSG00000134297,,pseudo
ENSG00000230247,,unknown
ENSG00000075303,42789.0,protein-coding
ENSG00000271201,,unknown
ENSG00000274076,,unknown
ENSG00000261204,,unknown
ENSG00000252236,,unknown
ENSG00000268521,,unknown
ENSG00000105856,33568.0,protein-coding
ENSG00000272084,,unknown
ENSG00000104880,77364.0,protein-coding
ENSG00000252367,,unknown
ENSG00000214686,680.0,protein-coding
ENSG00000252391,,unknown
ENSG00000213736,,unknown
ENSG00000101200,2168.0,protein-coding
ENSG00000263826,,unknown
ENSG00000215993,,unknown
ENSG00000201612,,unknown
ENSG00000182580,20625.0,protein-coding
ENSG00000237118,,unknown
ENSG00000198728,12893.0,protein-coding
ENSG00000276556,,unknown
ENSG00000227912,,unknown
ENSG00000274797,,unknown
ENSG00000273265,,ncRNA
ENSG00000273941,,unknown
ENSG00000226352,,unknown
ENSG00000212124,1001.0,protein-coding
ENSG00000235885,,ncRNA
ENSG00000089057,157937.0,protein-coding
ENSG00000252927,,unknown
ENSG00000131203,26169.0,protein-coding
ENSG00000230772,,unknown
ENSG00000204700,4904.0,protein-coding
ENSG00000200211,,unknown
ENSG00000215769,,pseudo
ENSG00000273962,,unknown
ENSG00000178412,,ncRNA
ENSG00000186513,4983.0,protein-coding
ENSG00000200318,,unknown
ENSG00000198712,683.0,protein-coding
ENSG00000273271,,unknown
ENSG00000213655,,unknown
ENSG00000231799,,unknown
ENSG00000206384,117821.0,protein-coding
ENSG00000093134,11978.0,protein-coding
ENSG00000212065,,unknown
ENSG00000235904,,unknown
ENSG00000166024,110273.0,protein-coding
ENSG00000202242,,unknown
ENSG00000207441,,unknown
ENSG00000229627,,unknown
ENSG00000050767,352937.0,protein-coding
ENSG00000249347,,unknown
ENSG00000198670,132776.0,protein-coding
ENSG00000225912,,unknown
ENSG00000015153,81245.0,protein-coding
ENSG00000234272,,unknown
ENSG00000220418,,unknown
ENSG00000047849,238582.0,protein-coding
ENSG00000277920,,unknown
ENSG00000278576,,unknown
ENSG00000166090,3594.0,protein-coding
ENSG00000229766,,unknown
ENSG00000175779,,ncRNA
ENSG00000234248,,unknown
ENSG00000266336,,unknown
ENSG00000230053,,unknown
ENSG00000234601,,antisense
ENSG00000204681,78347.0,protein-coding
ENSG00000235899,,intergenic
ENSG00000207742,,microRNA
ENSG00000147419,39342.0,protein-coding
ENSG00000271524,,unknown
ENSG00000224837,,unknown
ENSG00000267301,,unknown
ENSG00000127377,11978.0,protein-coding
ENSG00000259805,,unknown
ENSG00000233132,,unknown
ENSG00000217004,,unknown
ENSG00000243705,,unknown
ENSG00000235897,,antisense
ENSG00000250015,,unknown
ENSG00000226622,,unknown
ENSG00000263838,,microRNA
ENSG00000273362,,unknown
ENSG00000247728,,unknown
ENSG00000267275,,unknown
ENSG00000272360,,unknown
ENSG00000175166,10345.0,protein-coding
ENSG00000260899,,unknown
ENSG00000276514,,unknown
ENSG00000223668,,unknown
ENSG00000263842,,unknown
ENSG00000266257,,unknown
ENSG00000274386,31612.0,protein-coding
ENSG00000140678,27863.0,protein-coding
ENSG00000260763,,unknown
ENSG00000125899,,ncRNA
ENSG00000249357,,unknown
ENSG00000225945,,unknown
ENSG00000233955,,unknown
ENSG00000251577,,unknown
ENSG00000267261,,unknown
ENSG00000242265,13370.0,protein-coding
ENSG00000065615,107781.0,protein-coding
ENSG00000225105,,unknown
ENSG00000273568,,unknown
ENSG00000137177,228440.0,protein-coding
ENSG00000222177,,unknown
ENSG00000260458,12089.0,protein-coding
ENSG00000206483,,unknown
ENSG00000214146,,intergenic
ENSG00000239036,,unknown
ENSG00000258877,,unknown
ENSG00000251567,,unknown
ENSG00000270012,,unknown
ENSG00000174780,36345.0,protein-coding
ENSG00000092439,134342.0,protein-coding
ENSG00000258488,,unknown
ENSG00000164047,2144.0,protein-coding
ENSG00000234614,,unknown
ENSG00000219430,,unknown
ENSG00000229326,,unknown
ENSG00000240541,,antisense
ENSG00000222036,31578.0,protein-coding
ENSG00000227040,,unknown
ENSG00000263756,,unknown
ENSG00000267440,,unknown
ENSG00000242445,,unknown
ENSG00000279438,,unknown
ENSG00000252929,,unknown
ENSG00000182923,89296.0,protein-coding
ENSG00000243095,,unknown
ENSG00000201070,,unknown
ENSG00000230471,,unknown
ENSG00000234919,,unknown
ENSG00000171444,466731.0,protein-coding
ENSG00000273027,,unknown
ENSG00000267755,,unknown
ENSG00000259252,,unknown
ENSG00000143839,35505.0,protein-coding
ENSG00000156282,1192.0,protein-coding
ENSG00000243811,12163.0,protein-coding
ENSG00000199400,,unknown
ENSG00000145020,5978.0,protein-coding
ENSG00000267298,,unknown
ENSG00000175164,24818.0,protein-coding
ENSG00000262011,,unknown
ENSG00000189375,26944.0,protein-coding
ENSG00000278831,,unknown
ENSG00000225111,,unknown
ENSG00000267749,,unknown
ENSG00000259720,,unknown
ENSG00000234535,,unknown
ENSG00000251443,,intergenic
ENSG00000251870,,unknown
ENSG00000070010,29305.0,protein-coding
ENSG00000201791,,unknown
ENSG00000204175,6486.0,protein-coding
ENSG00000207317,,unknown
ENSG00000162144,13554.0,protein-coding
ENSG00000202385,,unknown
ENSG00000101825,38076.0,protein-coding
ENSG00000138448,90836.0,protein-coding
ENSG00000276921,,unknown
ENSG00000250949,,unknown
ENSG00000270956,,unknown
ENSG00000259096,,unknown
ENSG00000200976,,unknown
ENSG00000243478,,unknown
ENSG00000207572,,unknown
ENSG00000115884,24636.0,protein-coding
ENSG00000200213,,unknown
ENSG00000083168,122547.0,protein-coding
ENSG00000230947,,unknown
ENSG00000270547,,intergenic
ENSG00000152592,14054.0,protein-coding
ENSG00000254134,,unknown
ENSG00000228599,,unknown
ENSG00000230300,,unknown
ENSG00000270106,,unknown
ENSG00000228886,,unknown
ENSG00000164853,4411.0,protein-coding
ENSG00000226102,,unknown
ENSG00000233554,,unknown
ENSG00000221330,,unknown
ENSG00000203722,6243.0,protein-coding
ENSG00000216316,,unknown
ENSG00000270118,,unknown
ENSG00000205922,28615.0,protein-coding
ENSG00000072954,28902.0,protein-coding
ENSG00000106701,104637.0,protein-coding
ENSG00000048052,915467.0,protein-coding
ENSG00000214772,,unknown
ENSG00000258168,,unknown
ENSG00000199986,,unknown
ENSG00000137261,102051.0,protein-coding
ENSG00000231931,,unknown
ENSG00000249430,,unknown
ENSG00000249038,,unknown
ENSG00000267175,,unknown
ENSG00000196352,65428.0,protein-coding
ENSG00000261353,,unknown
ENSG00000226470,,unknown
ENSG00000205918,,unknown
ENSG00000279933,,unknown
ENSG00000233563,,unknown
ENSG00000090924,15830.0,protein-coding
ENSG00000205863,12130.0,protein-coding
ENSG00000163263,6961.0,protein-coding
ENSG00000266655,,microRNA
ENSG00000260600,,unknown
ENSG00000268678,,unknown
ENSG00000244490,,unknown
ENSG00000173041,43222.0,protein-coding
ENSG00000259654,,unknown
ENSG00000272783,,unknown
ENSG00000111667,14504.0,protein-coding
ENSG00000139405,6842.0,protein-coding
ENSG00000223899,,unknown
ENSG00000202182,,unknown
ENSG00000239221,,unknown
ENSG00000178796,19372.0,protein-coding
ENSG00000184716,6059.0,protein-coding
ENSG00000205329,2644.0,protein-coding
ENSG00000269825,,unknown
ENSG00000204709,,unknown
ENSG00000261182,,unknown
ENSG00000260192,,intergenic
ENSG00000268499,,unknown
ENSG00000021461,38089.0,protein-coding
ENSG00000099840,3164.0,protein-coding
ENSG00000233860,,unknown
ENSG00000163932,36708.0,protein-coding
ENSG00000267797,,unknown
ENSG00000200796,,unknown
ENSG00000267577,,unknown
ENSG00000241789,,unknown
ENSG00000114993,16586.0,protein-coding
ENSG00000176105,90958.0,protein-coding
ENSG00000267696,,unknown
ENSG00000216364,,unknown
ENSG00000102409,2154.0,protein-coding
ENSG00000201298,,unknown
ENSG00000228856,1592.0,protein-coding
ENSG00000226874,,unknown
ENSG00000271339,,unknown
ENSG00000236552,,pseudo
ENSGR0000280767,,unknown
ENSG00000275930,,unknown
ENSG00000201570,,unknown
ENSG00000258982,,unknown
ENSG00000230897,,unknown
ENSG00000272980,,unknown
ENSG00000275142,,unknown
ENSG00000228812,,antisense
ENSG00000136052,156191.0,protein-coding
ENSG00000164187,53549.0,protein-coding
ENSG00000115009,11825.0,protein-coding
ENSG00000197013,59588.0,protein-coding
ENSG00000125898,23748.0,protein-coding
ENSG00000253697,,unknown
ENSG00000251460,,unknown
ENSG00000104892,18086.0,protein-coding
ENSG00000254576,,unknown
ENSG00000235189,,unknown
ENSG00000267775,,unknown
ENSG00000220997,,unknown
ENSG00000228860,,unknown
ENSG00000277247,,unknown
ENSG00000265452,,microRNA
ENSG00000163584,5608.0,protein-coding
ENSG00000241669,,intergenic
ENSG00000235034,9865.0,protein-coding
ENSG00000245685,,unknown
ENSG00000262223,10320.0,protein-coding
ENSG00000241956,,ncRNA
ENSG00000130349,23129.0,protein-coding
ENSG00000229688,,antisense
ENSG00000249521,,intergenic
ENSG00000226465,,unknown
ENSG00000251575,,unknown
ENSG00000243440,,unknown
ENSG00000272801,,unknown
ENSG00000279608,,unknown
ENSG00000187783,25802.0,protein-coding
ENSG00000230161,,unknown
ENSG00000228763,,antisense
ENSG00000199535,,unknown
ENSG00000116005,23805.0,protein-coding
ENSG00000279992,,unknown
ENSG00000222755,,unknown
ENSG00000173406,1551956.0,protein-coding
ENSG00000197646,60684.0,protein-coding
ENSG00000248477,,unknown
ENSG00000205029,986.0,protein-coding
ENSG00000271018,,unknown
ENSG00000217139,,unknown
ENSG00000226948,,unknown
ENSG00000177733,8725.0,protein-coding
ENSG00000213370,,unknown
ENSG00000122188,11057.0,protein-coding
ENSG00000139287,247772.0,protein-coding
ENSG00000205035,,pseudo
ENSG00000157927,86664.0,protein-coding
ENSG00000272869,,unknown
ENSG00000257515,,unknown
ENSG00000211645,,unknown
ENSG00000230020,,antisense
ENSG00000259200,,ncRNA
ENSG00000254240,,unknown
ENSG00000101443,11826.0,protein-coding
ENSG00000125352,1352.0,protein-coding
ENSG00000237612,,unknown
ENSG00000206756,,unknown
ENSG00000271141,,unknown
ENSG00000248309,,antisense
ENSG00000228957,,unknown
ENSG00000230647,,unknown
ENSG00000077063,163488.0,protein-coding
ENSG00000279533,,unknown
ENSG00000251293,,unknown
ENSG00000242875,37756.0,protein-coding
ENSG00000261831,,unknown
ENSG00000227496,,unknown
ENSG00000149548,87368.0,protein-coding
ENSG00000236054,,unknown
ENSG00000219384,,unknown
ENSG00000124256,16730.0,protein-coding
ENSG00000257893,,intergenic
ENSG00000260112,,unknown
ENSG00000253304,4507.0,protein-coding
ENSG00000240497,,unknown
ENSG00000229271,,unknown
ENSG00000227175,,unknown
ENSG00000148516,211319.0,protein-coding
ENSG00000218586,,unknown
ENSG00000228551,,unknown
ENSG00000184557,3299.0,protein-coding
ENSG00000124140,38462.0,protein-coding
ENSG00000154118,96321.0,protein-coding
ENSG00000252113,,unknown
ENSG00000225756,,antisense
ENSG00000203933,9795.0,protein-coding
ENSG00000073584,23902.0,protein-coding
ENSG00000274656,,unknown
ENSG00000256806,41484.0,protein-coding
ENSG00000240350,,unknown
ENSG00000213160,82501.0,protein-coding
ENSG00000241322,54029.0,protein-coding
ENSG00000253617,,unknown
ENSG00000160766,,pseudo
ENSG00000275986,,unknown
ENSG00000048991,193815.0,protein-coding
ENSG00000164318,206612.0,protein-coding
ENSG00000256008,,unknown
ENSG00000225768,,intergenic
ENSG00000123989,4840.0,protein-coding
ENSG00000122481,13070.0,protein-coding
ENSG00000105656,79464.0,protein-coding
ENSG00000281592,,unknown
ENSG00000214717,14553.0,protein-coding
ENSG00000201296,,unknown
ENSG00000206786,,unknown
ENSG00000143110,4720.0,protein-coding
ENSG00000145216,83218.0,protein-coding
ENSG00000252231,,unknown
ENSG00000171421,2980.0,protein-coding
ENSG00000214822,,pseudo
ENSG00000219451,,unknown
ENSG00000105497,21210.0,protein-coding
ENSG00000070808,70800.0,protein-coding
ENSG00000274329,,unknown
ENSG00000063438,134115.0,protein-coding
ENSG00000236833,,unknown
ENSG00000113583,13285.0,protein-coding
ENSG00000232407,,unknown
ENSG00000173612,36952.0,protein-coding
ENSG00000213735,,unknown
ENSG00000215546,,unknown
ENSG00000237257,,unknown
ENSG00000253554,,intergenic
ENSG00000126856,35506.0,protein-coding
ENSG00000253451,,unknown
ENSG00000250372,,unknown
ENSG00000202150,,unknown
ENSG00000185272,12242.0,protein-coding
ENSG00000261499,,unknown
ENSG00000182632,,pseudo
ENSG00000201806,,unknown
ENSG00000279255,,unknown
ENSG00000280630,,unknown
ENSG00000184844,,unknown
ENSG00000233711,,unknown
ENSG00000201896,,unknown
ENSG00000252190,,unknown
ENSG00000235290,,unknown
ENSG00000171643,71649.0,protein-coding
ENSG00000168564,3607.0,protein-coding
ENSG00000201987,,unknown
ENSG00000252019,,unknown
ENSG00000128276,6276.0,protein-coding
ENSG00000224416,,unknown
ENSG00000273768,,unknown
ENSG00000227937,,unknown
ENSG00000248008,,ncRNA
ENSG00000163873,238602.0,protein-coding
ENSG00000271228,,unknown
ENSG00000207986,,unknown
ENSG00000007541,17141.0,protein-coding
ENSG00000269707,,unknown
ENSG00000222314,,unknown
ENSG00000254462,,unknown
ENSG00000224965,,unknown
ENSG00000205485,,ncRNA
ENSG00000230655,,unknown
ENSG00000249743,,unknown
ENSG00000212066,,unknown
ENSG00000260660,8433.0,protein-coding
ENSG00000188227,41823.0,protein-coding
ENSG00000197747,11475.0,protein-coding
ENSG00000224971,,unknown
ENSG00000280255,,unknown
ENSG00000186104,14812.0,protein-coding
ENSG00000178397,19572.0,protein-coding
ENSG00000175393,,unknown
ENSG00000277233,,unknown
ENSG00000281889,,unknown
ENSG00000260670,,unknown
ENSG00000249209,,unknown
ENSG00000207807,,microRNA
ENSG00000197062,11214.0,protein-coding
ENSG00000272412,,unknown
ENSG00000243050,,unknown
ENSG00000140009,253880.0,protein-coding
ENSG00000174429,10762.0,protein-coding
ENSG00000151718,221484.0,protein-coding
ENSG00000230649,,unknown
ENSG00000272221,,unknown
ENSG00000136634,4892.0,protein-coding
ENSG00000111644,9385.0,protein-coding
ENSG00000235454,,unknown
ENSG00000259077,,unknown
ENSG00000228984,,unknown
ENSG00000119048,20813.0,protein-coding
ENSG00000021574,94090.0,protein-coding
ENSG00000281823,,unknown
ENSG00000120029,210594.0,protein-coding
ENSG00000260136,,unknown
ENSG00000207741,,microRNA
ENSG00000261290,,unknown
ENSG00000280274,,unknown
ENSG00000277565,,unknown
ENSG00000270755,,unknown
ENSGR0000168939,,unknown
ENSG00000227695,,unknown
ENSG00000226625,,unknown
ENSG00000170255,5694.0,protein-coding
ENSG00000229344,,unknown
ENSG00000275340,,pseudo
ENSG00000244161,,antisense
ENSG00000268447,39173.0,protein-coding
ENSG00000176937,,unknown
ENSG00000241042,,unknown
ENSG00000244034,,unknown
ENSG00000276393,,unknown
ENSG00000258148,,unknown
ENSG00000253673,,unknown
ENSG00000222627,,unknown
ENSG00000177151,8922.0,protein-coding
ENSG00000140259,20310.0,protein-coding
ENSG00000176601,82977.0,protein-coding
ENSG00000221156,,unknown
ENSG00000143373,10562.0,protein-coding
ENSG00000237363,,unknown
ENSG00000065135,69710.0,protein-coding
ENSG00000222515,,unknown
ENSG00000252896,,unknown
ENSG00000206788,,unknown
ENSG00000183024,997.0,protein-coding
ENSG00000262099,,ncRNA
ENSG00000081913,264983.0,protein-coding
ENSG00000043143,58918.0,protein-coding
ENSG00000168116,8707.0,protein-coding
ENSG00000277229,,unknown
ENSG00000151689,28195.0,protein-coding
ENSG00000236761,2333.0,protein-coding
